query,title,source,published,link
"""Reallabor"" Karlsruhe","Ergebnisse für eine smarte Oststadt: Drei Jahre ""Smart East Karlsruhe"" - Baden TV",Baden TV,"Tue, 26 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxNRklKTGNnZmtRTURFdHJ0YTBaeDFNZHhGcm5QV0R1aEVGaWhLQXZLcjdLejEwQXFfSE15NXVfdi1tWHVfbnZjSGJ0VzM4czFLejBwaDF2QUVibE1VVTFqN0hPa0VnLUZKT1ZYWXV3bDExZTRGeGxUb09tTnM2YTkwdVpKaXJweThZa3gyd0pKcTJpeTExZGdtamFWdnBMaFBmMVpRRWJzeW5NY2xXZmlR?oc=5
"""Reallabor"" Karlsruhe","Sanierungsgebiet ""Kaiserstraße-West"": Weniger Leerstand, mehr Aufwertung - meinKA",meinKA,"Thu, 09 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMikgFBVV95cUxObV96aTlSYVJQcnNKQzIwNHNUNERkVXQ4T3cwMFljNHVtZmdURlhvZGVFdEFGX3p2cEdGYzMtYlVBaDIySkFSaFVNd25PS040ekp2SGlkRHJzdDh5ekZQZllDckZMQWU4dWF5dkZtdUtMNElSYThOelljN3ZHZ29DQjE1S2toc0hJYV83bmRZTTRiZw?oc=5
"""Reallabor"" Karlsruhe",Stadt Karlsruhe will die nördliche Karlstraße zur Fußgängerzone machen - Badische Neueste Nachrichten,Badische Neueste Nachrichten,"Wed, 21 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMixAFBVV95cUxQOHp2c3ZCb1pJczM5eS1qSDN2SlB0QUhFa19oM3JkcW8yeHlBWXdrNjN0UFJ1c3ZWaHdJRXNqSDlOekMzZVlaMEVxcHhqaWk3R2pGSFhNWXJSSXZGU3ZyVjZwajFzckp5Y19Lc0l5aVRBZGZUWEpYRXB2RXBzOWlsUWtLLUw4anhuUk9GeHIxd2VBcVF2VXFrNFlwX3YtYm5CcFJMQXA4TlpFTTJOWjVkSmZmdEl1OVBzY1BHZ2hYZWVxV254?oc=5
"""Reallabor"" Karlsruhe",Dreck-weg-Wochen in Karlsruhe – gemeinsam für eine saubere Stadt - meinKA,meinKA,"Sat, 08 Mar 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE91THBNY3FBcjlBYkJFdHE1cnZtV1ZLTXp4bjJNeTVUcTVfMHoxa29KaXpXZjZyajZLYXAydE9udEhHaGQxREpiRk5wQktNdzdtSDhoVDUyUDQ?oc=5
"""Reallabor"" Karlsruhe",Droht dem Karlsruher Markt auf dem Gutenbergplatz Kundenschwund? - Badische Neueste Nachrichten,Badische Neueste Nachrichten,"Sun, 06 Oct 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMixwFBVV95cUxNX1ZvZ2tuYUhMaXROQW5GOXJPYXdmQ1JGWE5Lc0pJMDdoZ2Q5S0dJUkZ1TnItd3BuRV9BX3pkN1ZTV1cyTDZfaWxPMlVxMUlCdzRkdTZnMWZGRDhVV0stbWlBVmVCNkc5TEF1dHZSZDdoMExBdFByUFhhemFjNE9ZU0otVlA4dW1kVE45OWRJOHhiQkRoUnpkbm1rZ2oySG5BcVM4RWwxbDg0Yi1KM3E4ZlZaZ1RlakNqUWxFa1A1SktkbFlLdjEw?oc=5
"""Reallabor"" Karlsruhe",Teile des Karlsruher Passagehofs werden zur Fußgängerzone - die neue welle,die neue welle,"Fri, 01 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxPSE5SenN4NkVHTGRZLWxnMVhYc0xtdTFLQy1RM3QtcjhDRXJmSXNNeTFxQXFtd2N0MjROZmNvZnd3aTZ0TndmUkhzZl9DcjJkOTZtQWtVV0VpRFdacm9TVlh4WXliQnYyN29jaEdUNGJRQVR4MkpQMTBpdTdudU1lTzRBN0ZtekE4cUk0Y2pjVkRqU1RZNGNCbV91YnBtQQ?oc=5
"""Reallabor"" Karlsruhe",Applaus für eine temporäre Fußgängerzone in der Karlsruher Sophienstraße - Badische Neueste Nachrichten,Badische Neueste Nachrichten,"Tue, 24 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOHdJWnlNV1R5OEVRWkxPWGIwU1ZTZ0NmT3JYUDlvYk44RUNCM0FrWVBvMnp0OURENk9Kb3VVbGZSZWpnMTRKWmQ4RkxIcXpmUFh4TVI4b004cm1abjE0djh1cjB3NHFiUXpNXzU2cXlRZEZ0azFyMWpPTXVqUUZncTgwaUxRc3NhQWJVaXR3VlJNZXN0OVc2LU51d1ZNU1ljbEZqTW83bVdDbG8?oc=5
"""Reallabor"" Karlsruhe","GO Karlsruhe! Hochschule Karlsruhe erhält 1,17 Mio. € für Projekt zur Fußgängermobilität - idw - Informationsdienst Wissenschaft",idw - Informationsdienst Wissenschaft,"Mon, 16 Nov 2015 08:00:00 GMT",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQNGlrcGp5cUxNTko5bkRUREllNWZ0Rk5YcFhfYWU1b3dzQmxjRG9DU080SjgyVVN4cVlwcEJmWXlpalNRUnd2Z1BNVTg1cVZZeFcySUFmTng4alp3TVNhdGRQTFh0elhROTZtR2UtdWtMaE9lbG8tTF9EUU0xRFRkUFRCbzVhT0JEb0NwSGcyUllHQlQzM256TXFSWEQ3QXJwVGgxWGhLSTY4V0dkRlFwYklQZDdyMjdfS3dkRVA5U1dtendabkxONFc5R1ZBVFlCZzRR?oc=5
"""Reallabor"" Karlsruhe",Sanierung des Badischen Staatstheaters in Karlsruhe: So laufen die Arbeiten aktuell - meinKA,meinKA,"Sat, 22 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxQc2lIUzFzWC1KeE54dUtnSi1BQWJ3N01rYm1LazdNZzZQMjZjVU1vMzRpVGNjUWVxRDIyTkgyUEpuOWQwbUFueTJJTWJPbUwyalpTV1hCZ2tZTUl5MG9DWkw0dWxNVFFkSWlsR1JyOEZvWl9iek1CUzViTnlROTFfaG1PVFlfZ1BnRF9fX1dzWUdGaEw5bm9zejNQWW1GMkwwNTJJ?oc=5
"""Reallabor"" Karlsruhe",Transformation im Karlsruher Passagehof: Umbau zur Fußgängerzone beginnt im September - Wochenblatt Reporter,Wochenblatt Reporter,"Wed, 16 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxQaGRhM0ZncW1qdmZmTi1oeE40NElOdS16NWw1dmsyVW92QnNDNU0yczI0WUZ2NG0wUk9sM1BUNnlsa2xvbnd3Tlh4Zk9DOEJrOGxLRDdsT0lOVVBlVmZaUEIyWVpYZXpVbDVaUk1OWlFJam5xOTAtTGNSZU5LUmxlMlA3aEFCcGdiZWk2b0E2RmVDMy16aUtGa1V6X2dSWkNJNHUtc3JKUjNIVmE5elZ3?oc=5
